"販売店ASAコード","販売店名","契約状況","店コード","区域","順路","枝番","読者No","氏名１","氏名２","フリガナ１","フリガナ２","郵便番号","住所１","住所２","住所３","住所４（建物名）","住所５（部屋番号）","住所６（通称）","住所７（方書）","電話番号１","電話番号２","メールアドレス１","メールアドレス２","生年月日","性別","職業","支払い方法","銘柄コード","本社銘柄コード","銘柄","現区分","契約開始","現入り日","契約日","契約終了","契約期間（開始）","契約期間（終了）","現入コード","現入理由","現契約区分","販促品名１","販促品名２","販促品名３"
"1935200",,"現",,"3","141","0","8196","●●●●●",,"●●●●●●●",,"4640041","名古屋市千種区","霞ヶ丘","2-7-8",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","現読","20200401","20200401","20190904","20200930","20200401","20200930","7","先起し","先起し",,,
"1935200",,"予",,"3","141","0","8196","●●●●●",,"●●●●●●●",,"4640041","名古屋市千種区","霞ヶ丘","2-7-8",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","予約","20210401","20210401","20200826",,"20210401","20210930","7","先起し","先起し",,,
"1935200",,"現",,"6","218","0","8197","●●●●●",,"●●●●●●●●",,"4640062","名古屋市千種区","向陽町","1-5",,,,,"●●●●●●●●●●●",,,,,,,"クレジット","000201","3","朝刊単","現読","20120302","20120302","20120302",,"20120302",,"41","移転読者","新勧",,,
"1935200",,"現",,"4","44","0","8205","●●●●●",,"●●●●●●●",,"4640056","名古屋市千種区","月見坂町","2-4-1",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"集金","000100","1","セット","現読","20200501","20200501","20200124",,"20200501","20210430","6","固継","固定継続",,,
"1935200",,"現",,"10","47","0","8222","●●●●",,"●●●●●●●",,"4640083","名古屋市千種区","北千種","2-1-43",,,,,"●●●●●●●●●●●","●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","現読","20200413","20200413","20200413","20201031","20200413","20201031","24","申込み","新勧",,,
"1935200",,"予",,"10","47","0","8222","●●●●",,"●●●●●●●",,"4640083","名古屋市千種区","北千種","2-1-43",,,,,"●●●●●●●●●●●","●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","予約","20201101","20201101","20200827",,"20201101","20211031","4","１継","一継",,,
"1935200",,"現",,"8","77","0","8225","●●●●●●",,"●●●●●●●●●●",,"4640071","名古屋市千種区","若水","3-21-16",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","現読","20200413","20200413","20200413",,"20200413","20210430","25","即入","新勧",,,
"1935200",,"現",,"4","81","0","8229","●●●●●",,"●●●●●●●●",,"4640063","名古屋市千種区","西山元町","1-5-1",,,,,"●●●●●●●●●●●",,,,,,,"クレジット","000201","3","朝刊単","現読","20200801","20200801","20200604",,"20200801","20210731","4","１継","一継",,,
"1935200",,"現",,"10","55","50","8231","●●●●●",,"●●●●●●●●",,"4640083","名古屋市千種区","北千種","1-6-2",,,,,"●●●●●●●●●●●",,,,,,,"集金","001201","9","小学生","現読","20200603","20200603","20200603",,"20200603",,"4","１継","一継",,,
"1935200",,"現",,"4","103","50","8234","●●●●",,"●●●●●●●",,"4640063","名古屋市千種区","西山元町","3-15",,,,,"●●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20200511","20200511","20200511",,"20200511","20200831","16","ウェブ","新勧",,,
